iter	MultiClass
192	0.8552913975
193	0.8546423031
194	0.8540593282
195	0.8536200277
196	0.8527734825
197	0.8523611355
198	0.8519043268
199	0.8514481513
200	0.8510520353
201	0.85056939
202	0.8498152206
203	0.8493654752
204	0.8485502267
205	0.8479997177
206	0.8476239991
207	0.8471200961
208	0.8468308973
209	0.8460956124
210	0.845648835
211	0.8450211255
212	0.844572616
213	0.8442254841
214	0.843610236
215	0.8431643622
216	0.8426966478
217	0.8421951194
218	0.8416374345
219	0.8413565714
220	0.8408148582
221	0.8402624837
222	0.8394691897
223	0.8391337594
224	0.8386551226
225	0.8382519845
226	0.8377258747
227	0.8372395898
228	0.8368287912
229	0.8365044457
230	0.8360455101
231	0.835561706
232	0.8351940685
233	0.8344894753
234	0.8339067245
235	0.8333789699
236	0.8328987164
237	0.8324077786
238	0.831845324
239	0.8314568038
240	0.8308656076
241	0.8305711387
242	0.8301194528
243	0.8296292364
244	0.8292166823
245	0.8287559624
246	0.8283070817
247	0.827950437
248	0.8275200833
249	0.8271882816
250	0.8266257804
251	0.8261983275
252	0.8258865125
253	0.8254012626
254	0.8250300631
255	0.8247127693
256	0.8241730931
257	0.8237846395
258	0.8232228282
259	0.8224881672
260	0.8221390659
261	0.8217136418
262	0.821302372
263	0.8209009102
264	0.8202904619
265	0.819995171
266	0.8195934192
267	0.8193188958
268	0.8189799828
269	0.8184092295
270	0.8181396184
271	0.8176220126
272	0.8173242814
273	0.8169164432
274	0.8163706434
275	0.8160853438
276	0.8157334491
277	0.8151015085
278	0.8146127752
279	0.8142393031
280	0.8139393932
281	0.8135929884
282	0.813276911
283	0.8128683752
284	0.8124193676
285	0.8120644944
286	0.8116553714
287	0.8112534858
288	0.8108248641
289	0.8105329755
290	0.8101163082
291	0.8098727767
292	0.8094071334
293	0.8091537627
294	0.8089137745
295	0.8086546083
296	0.8081754965
297	0.8079270141
298	0.8077173159
299	0.8073390297
300	0.8070105791
301	0.8066815942
302	0.8062507726
303	0.805798379
304	0.8054126376
305	0.8050647611
306	0.8045899771
307	0.8042425131
308	0.8038724755
309	0.8033358109
310	0.8031977012
311	0.8028375761
312	0.8025106751
313	0.8022457162
314	0.8019461609
315	0.801578938
316	0.8011833813
317	0.8008725296
318	0.8003848393
319	0.7998992366
320	0.7996752219
321	0.7993141338
322	0.7989672634
323	0.7986310823
324	0.7983490812
325	0.7976658172
326	0.7973109255
327	0.7967395605
328	0.7961139519
329	0.7958860014
330	0.7954286891
331	0.7951192239
332	0.794516036
333	0.7941622542
334	0.7940019676
335	0.793621032
336	0.7933463787
337	0.7929793846
338	0.7927223772
339	0.7921131775
340	0.7916917563
341	0.7914051676
342	0.7911226387
343	0.7908751615
344	0.790616093
345	0.7903344988
346	0.7898995303
347	0.7896188868
348	0.7891132748
349	0.7886542036
350	0.7884503679
351	0.7882439663
352	0.7878197218
353	0.7875224431
354	0.7872176629
355	0.7869434064
356	0.7866011231
357	0.7861072829
358	0.7857957174
359	0.7855207032
360	0.7852119621
361	0.7849607766
362	0.7846116815
363	0.784275576
364	0.7840343451
365	0.7836699467
366	0.7832627196
367	0.7829361267
368	0.782606889
369	0.7822871948
370	0.7820101266
371	0.7818113647
372	0.7815320137
373	0.7812944136
374	0.781082224
375	0.7807742221
376	0.7805597782
377	0.7804020919
378	0.7800327639
379	0.7797437985
380	0.7794294273
381	0.7791670057
382	0.7789076452
383	0.7784812091
384	0.777973436
385	0.7775991651
386	0.7773854117
387	0.7771414866
388	0.7768863288
389	0.7764432387
390	0.7761041815
391	0.7759558236
392	0.775515232
393	0.7752244068
394	0.7748917266
395	0.774398669
396	0.7741238554
397	0.7737342556
398	0.7733418559
399	0.7729984424
400	0.7726174031
401	0.7722746494
402	0.7719975998
403	0.7716838086
404	0.7711134335
405	0.7708614077
406	0.7705527675
407	0.77026713
408	0.7699970093
409	0.7698398465
410	0.7696729857
411	0.7694757183
412	0.7692260275
413	0.7689920838
414	0.7687101215
415	0.7684727822
416	0.7680750696
417	0.7678410989
418	0.7676654096
419	0.7674781412
420	0.7671863581
421	0.7668829507
422	0.7667134313
423	0.7664816243
424	0.7662447171
425	0.7658831467
426	0.7656547899
427	0.7653790163
428	0.7649307632
429	0.7647320187
430	0.7645449556
431	0.7642922441
432	0.7640675762
433	0.7638325563
434	0.7634356747
435	0.7632404525
436	0.7630484192
437	0.7628259562
438	0.7626234937
439	0.7623810209
440	0.7619851203
441	0.7616864702
442	0.7614091526
443	0.7611319749
444	0.7608747508
445	0.7606335556
446	0.7604017878
447	0.7601931887
448	0.7598651428
449	0.759544574
450	0.7593883301
451	0.7591792359
452	0.7589432174
453	0.7586865097
454	0.7584704448
455	0.7582730453
456	0.7580796132
457	0.7578517301
458	0.7576439874
459	0.7574022193
460	0.7570644392
461	0.7568108059
462	0.7564653694
463	0.7562644212
464	0.7560652651
465	0.7558956881
466	0.7556344373
467	0.7552746719
468	0.7550494551
469	0.7549032386
470	0.7546015554
471	0.7543147694
472	0.7540850759
473	0.7540028147
474	0.7537686739
475	0.7535718763
476	0.753269018
477	0.7529519801
478	0.7525473303
479	0.7522822589
480	0.7520505721
481	0.7519012377
482	0.7515986651
483	0.7514755634
484	0.7512320687
485	0.751017582
486	0.7507894984
487	0.7506053363
488	0.7502788538
489	0.7500758373
490	0.7496075744
491	0.7491594516
492	0.7489171148
493	0.7486597271
494	0.7483466038
495	0.7480997709
496	0.7478750097
497	0.7477261105
498	0.7473946462
499	0.747205067
500	0.7469536809
501	0.7466619451
502	0.7464487477
503	0.7461800689
504	0.7459962212
505	0.7457364369
506	0.7453049538
507	0.7450500187
508	0.7448488357
509	0.7446620465
510	0.7444324069
511	0.7440611704
512	0.7438885647
513	0.7436596001
514	0.743328189
515	0.7430001213
516	0.742756394
517	0.7426245459
518	0.7423439932
519	0.7420696009
520	0.741873516
521	0.7416422395
522	0.7415085634
523	0.7411261713
524	0.7408509409
525	0.7406264184
526	0.7404466958
527	0.740218329
528	0.7399500787
529	0.7398380823
530	0.7395735052
531	0.7391749941
532	0.73901079
533	0.73870766
534	0.7385206182
535	0.7383708165
536	0.7381151696
537	0.7379699911
538	0.7377948627
539	0.7375752413
540	0.7373582785
541	0.7371347903
542	0.736932749
543	0.7367526811
544	0.7365950165
545	0.7363151652
546	0.7361364128
547	0.7359664883
548	0.7357107932
549	0.7354793175
550	0.7352360942
551	0.7350778925
552	0.7348637825
553	0.7346004313
554	0.734411986
555	0.7340425904
556	0.7337971461
557	0.7336641875
558	0.7335051532
559	0.7332348732
560	0.7330594683
561	0.7328003898
562	0.7326305084
563	0.7324690721
564	0.7321450597
565	0.7319208168
566	0.7317182429
567	0.7314543443
568	0.7311552563
569	0.7307964578
570	0.730470739
571	0.7302746312
572	0.7300804718
573	0.7299389918
574	0.7296507921
575	0.7295182327
576	0.7293461464
577	0.7292045025
578	0.7289808004
579	0.7288095306
580	0.7286872983
581	0.728326987
582	0.7281569402
583	0.7278381855
584	0.727644626
585	0.7274997456
586	0.7272737062
587	0.7270858802
588	0.726906642
589	0.72668592
590	0.7264993038
591	0.7262656969
592	0.7261090626
593	0.7258033604
594	0.725575024
595	0.725344169
596	0.7251933091
597	0.7250250273
598	0.7248219375
599	0.7246455101
600	0.7243689519
601	0.7241213077
602	0.7239531758
603	0.7238110837
604	0.7234517755
605	0.7233484812
606	0.7232381652
607	0.7230095995
608	0.7228415251
609	0.7227404969
610	0.7225602635
611	0.7223182877
612	0.7221492363
613	0.7220143104
614	0.7218023863
615	0.7216827285
616	0.7215271935
617	0.7212705425
618	0.721066881
619	0.7208777371
620	0.7207133541
621	0.7206261075
622	0.7203379281
623	0.7201936502
624	0.7200247278
625	0.7198453005
626	0.7197173969
627	0.7195109163
628	0.719357151
629	0.7191708665
630	0.718992462
631	0.7187799845
632	0.7186535501
633	0.7184902862
634	0.7182469167
635	0.7180484554
636	0.7178310712
637	0.7176369373
638	0.7175013613
639	0.7173900987
640	0.7172055536
641	0.7170575334
642	0.716858866
643	0.7166548694
644	0.7165158072
645	0.7162747562
646	0.7160636418
647	0.7159294889
648	0.7157729709
649	0.7155978538
650	0.7154576279
651	0.7153514548
652	0.7150639011
653	0.7147972886
654	0.7146531116
655	0.7144053039
656	0.7142005406
657	0.7140275629
658	0.7139010836
659	0.7137204858
660	0.7136315624
661	0.7132506179
662	0.7130867177
663	0.7128436785
664	0.7125982146
665	0.7124694092
666	0.7123163292
667	0.7121404964
668	0.7119045349
669	0.7117757208
670	0.7116744227
671	0.71149958
672	0.7113174541
673	0.7111369137
674	0.7110506591
675	0.7108182785
676	0.7105789152
677	0.7103897624
678	0.7102792777
679	0.7101720257
680	0.7099590471
681	0.7096802827
682	0.7095165106
683	0.7092821405
684	0.709117271
685	0.7089012746
686	0.7087605172
687	0.7085180442
688	0.7084211743
689	0.7082660362
690	0.7081840709
691	0.7080233788
692	0.7078282106
693	0.707680841
694	0.7075720933
695	0.7073908106
696	0.707086444
697	0.7069399482
698	0.706783653
699	0.7066579178
700	0.7064536976
701	0.7062684745
702	0.706115736
703	0.7059499143
704	0.7057697205
705	0.7056222111
706	0.7054051278
707	0.7052870674
708	0.7049626642
709	0.70473502
710	0.7045330474
711	0.7043864823
712	0.7041729459
713	0.7039884112
714	0.7038419812
715	0.7036494298
716	0.7034543313
717	0.7033107936
718	0.7031292212
719	0.7029500698
720	0.7027699685
721	0.7026282853
722	0.7025128219
723	0.7023302584
724	0.7021980234
725	0.7019904278
726	0.7018075181
727	0.701655578
728	0.7013922081
729	0.7012056398
730	0.7010531043
731	0.7009539008
732	0.7007844665
733	0.7006447125
734	0.7004828927
735	0.7003226756
736	0.7001517851
737	0.6999982142
738	0.6997551188
739	0.6996463923
740	0.6994636356
741	0.6993072298
742	0.6991587492
743	0.6989459042
744	0.6988031979
745	0.6983818266
746	0.6982982537
747	0.6981689219
748	0.6980143612
749	0.6978071756
750	0.6976216431
751	0.6973539868
752	0.6972150996
753	0.6971128499
754	0.6969446027
755	0.6968744303
756	0.6967616212
757	0.6966824386
758	0.6965511654
759	0.6964202234
760	0.6962846565
761	0.696126911
762	0.6959760853
763	0.6957240805
764	0.6956280984
765	0.6955299625
766	0.6953736067
767	0.6952221015
768	0.695067651
769	0.6948799004
770	0.694650608
771	0.6944547618
772	0.6943329556
773	0.6941730855
774	0.6940640372
775	0.6939399628
776	0.6937986522
777	0.6936432483
778	0.6934625301
779	0.6933233794
780	0.6931576552
781	0.6930317658
782	0.6929070262
783	0.6927369051
784	0.6925419538
785	0.6924185507
786	0.6922853549
787	0.6921567716
788	0.6919409603
789	0.6918243614
790	0.6916809678
791	0.6914558782
792	0.6912722877
793	0.6911242713
794	0.6909930636
795	0.6908873703
796	0.6907418426
797	0.6905542461
798	0.6904820549
799	0.6902877476
800	0.6901877058
801	0.6900542702
802	0.6899368044
803	0.6898223983
804	0.6896757529
805	0.6895071683
806	0.6893570643
807	0.6892316331
808	0.6891022647
809	0.6890147921
810	0.6888561034
811	0.6887608228
812	0.6886304539
813	0.6885095512
814	0.6883600225
815	0.6882098641
816	0.6880512657
817	0.6878377836
818	0.687631471
819	0.6873806887
820	0.6871959235
821	0.687068458
822	0.6869239389
823	0.6867047669
824	0.6865626342
825	0.6864501804
826	0.6862867027
827	0.686009481
828	0.6858858117
829	0.6857099468
830	0.6855047729
831	0.6854095966
832	0.6851548181
833	0.6848585733
834	0.6847571193
835	0.684631162
836	0.6844527419
837	0.6842837259
838	0.6841523715
839	0.684006947
840	0.6838632258
841	0.6837252858
842	0.6834574412
843	0.683307741
844	0.6831930108
845	0.6830799213
846	0.6829653542
847	0.6828763624
848	0.6827776383
849	0.6826879071
850	0.6825687625
851	0.6821667283
852	0.6820100406
853	0.6819074462
854	0.6817344921
855	0.6814706619
856	0.681375795
857	0.6812390279
858	0.6809888717
859	0.6808330912
860	0.6807189586
861	0.6805437741
862	0.6803705921
863	0.6801486194
864	0.6799784486
865	0.6798426208
866	0.679685449
867	0.6795160532
868	0.6794530346
869	0.6792933494
870	0.6791978883
871	0.6789641377
872	0.6788818877
873	0.6788239765
874	0.6787060717
875	0.6786126443
876	0.6784715889
877	0.6783026244
878	0.6781345861
879	0.6779447024
880	0.6777677186
881	0.6776908903
882	0.6775542727
883	0.6774507386
884	0.677343073
885	0.6772096483
886	0.677005987
887	0.6768574185
888	0.6767263871
889	0.6764827475
890	0.676376315
891	0.6762630085
892	0.6761836034
893	0.6760901271
894	0.6757937791
895	0.6756631151
896	0.6755207374
897	0.6754363121
898	0.6752606962
899	0.6751578905
900	0.6750533139
901	0.6749701732
902	0.674795199
903	0.6747214419
904	0.6745940675
905	0.6744582237
906	0.6743167014
907	0.674202307
908	0.6740803925
909	0.673960633
910	0.6737908111
911	0.6736389154
912	0.6735220343
913	0.6732766839
914	0.6732118733
915	0.6730883269
916	0.6729927562
917	0.6728724924
918	0.6727473964
919	0.6726307913
920	0.6725159164
921	0.6724343859
922	0.6723413454
923	0.6722490892
924	0.6721320464
925	0.6719669502
926	0.6718185552
927	0.6717229918
928	0.6714823426
929	0.6713519599
930	0.671187639
931	0.6710758831
932	0.6708259088
933	0.6706792271
934	0.6705049196
935	0.6703411273
936	0.6701844163
937	0.6700546896
938	0.66990457
939	0.669753602
940	0.6695851471
941	0.6694327994
942	0.6691149262
943	0.6689638009
944	0.6688679633
945	0.66879575
946	0.6686112803
947	0.6684815777
948	0.6683817409
949	0.6682864263
950	0.6681745748
951	0.6680346061
952	0.6678953834
953	0.6677052842
954	0.6675235769
955	0.6674514229
956	0.6673166089
957	0.6671736242
958	0.6670343076
959	0.6669309082
960	0.6668083839
961	0.6666486395
962	0.666560112
963	0.6663185854
964	0.6661983438
965	0.6660441193
966	0.6659106625
967	0.6657888949
968	0.6656544192
969	0.6654969391
970	0.6653265928
971	0.6650535053
972	0.6649327067
973	0.664824046
974	0.6647149264
975	0.6646559837
976	0.6645670001
977	0.6644219575
978	0.6643020237
979	0.6641368167
980	0.6638814883
981	0.663725018
982	0.6636157064
983	0.6634169501
984	0.6633613986
985	0.6632777797
986	0.6631674107
987	0.6630275269
988	0.662851118
989	0.6626787891
990	0.6625530543
991	0.6623140519
992	0.6622435728
993	0.662090194
994	0.6619645069
995	0.6617840255
996	0.6616198384
997	0.6614662755
998	0.6613162577
999	0.661200028
