iter	Passed	Remaining
404	7886	11585
405	7904	11564
406	7921	11542
407	7941	11522
408	7958	11500
409	7976	11478
410	7993	11455
411	8011	11433
412	8028	11410
413	8046	11388
414	8065	11369
415	8089	11356
416	8116	11347
417	8145	11340
418	8174	11334
419	8198	11321
420	8224	11311
421	8261	11315
422	8283	11299
423	8305	11283
424	8328	11268
425	8358	11262
426	8380	11246
427	8407	11235
428	8429	11219
429	8451	11202
430	8472	11185
431	8494	11168
432	8514	11149
433	8539	11136
434	8561	11120
435	8584	11104
436	8607	11089
437	8633	11077
438	8652	11057
439	8670	11034
440	8688	11012
441	8707	10993
442	8728	10974
443	8749	10956
444	8770	10938
445	8790	10918
446	8809	10898
447	8827	10877
448	8849	10860
449	8883	10857
450	8907	10842
451	8936	10834
452	8969	10831
453	8997	10820
454	9030	10817
455	9048	10794
456	9065	10771
457	9083	10749
458	9100	10725
459	9117	10703
460	9135	10681
461	9154	10660
462	9173	10640
463	9192	10619
464	9211	10598
465	9230	10576
466	9249	10556
467	9267	10534
468	9285	10513
469	9303	10490
470	9321	10469
471	9342	10450
472	9361	10430
473	9384	10413
474	9407	10398
475	9432	10383
476	9452	10364
477	9471	10343
478	9490	10323
479	9511	10303
480	9530	10283
481	9549	10262
482	9568	10242
483	9588	10222
484	9607	10201
485	9629	10183
486	9649	10164
487	9669	10144
488	9688	10124
489	9706	10102
490	9726	10082
491	9745	10062
492	9764	10041
493	9783	10021
494	9802	10000
495	9823	9982
496	9844	9963
497	9864	9943
498	9883	9923
499	9902	9902
500	9921	9881
501	9940	9861
502	9960	9842
503	9980	9822
504	9999	9801
505	10018	9781
506	10038	9761
507	10059	9742
508	10077	9721
509	10095	9699
510	10114	9678
511	10133	9658
512	10155	9640
513	10177	9623
514	10199	9604
515	10221	9587
516	10243	9569
517	10267	9553
518	10286	9533
519	10305	9512
520	10323	9491
521	10341	9469
522	10358	9447
523	10376	9425
524	10394	9404
525	10412	9383
526	10430	9361
527	10448	9340
528	10469	9321
529	10488	9300
530	10507	9280
531	10526	9260
532	10546	9240
533	10565	9220
534	10585	9200
535	10606	9182
536	10627	9162
537	10648	9144
538	10670	9126
539	10690	9106
540	10707	9084
541	10726	9063
542	10743	9042
543	10760	9020
544	10778	8998
545	10796	8977
546	10813	8955
547	10831	8933
548	10849	8912
549	10868	8892
550	10888	8872
551	10905	8851
552	10923	8829
553	10940	8807
554	10957	8786
555	10975	8764
556	10993	8743
557	11010	8721
558	11028	8700
559	11045	8678
560	11063	8657
561	11083	8638
562	11101	8617
563	11119	8595
564	11136	8574
565	11154	8553
566	11171	8531
567	11189	8510
568	11206	8488
569	11224	8467
570	11241	8446
571	11259	8424
572	11278	8404
573	11299	8386
574	11318	8365
575	11336	8345
576	11354	8323
577	11371	8302
578	11388	8280
579	11406	8260
580	11424	8238
581	11442	8218
582	11459	8196
583	11477	8175
584	11495	8155
585	11515	8135
586	11533	8114
587	11550	8093
588	11567	8071
589	11584	8050
590	11602	8029
591	11619	8008
592	11637	7987
593	11655	7966
594	11673	7945
595	11690	7924
596	11709	7904
597	11728	7884
598	11755	7869
599	11773	7848
600	11790	7827
601	11808	7806
602	11825	7785
603	11843	7764
604	11860	7743
605	11877	7722
606	11895	7701
607	11912	7680
608	11930	7659
609	11949	7639
610	11966	7618
611	11984	7597
612	12001	7576
613	12018	7555
614	12035	7534
615	12053	7513
616	12070	7492
617	12088	7471
618	12105	7450
619	12122	7430
620	12140	7409
621	12159	7389
622	12177	7369
623	12195	7348
624	12212	7327
625	12230	7306
626	12247	7285
627	12264	7264
628	12281	7243
629	12298	7222
630	12315	7202
631	12333	7181
632	12354	7162
633	12374	7143
634	12392	7123
635	12411	7103
636	12428	7082
637	12446	7061
638	12463	7041
639	12481	7020
640	12498	6999
641	12517	6979
642	12534	6959
643	12552	6938
644	12571	6919
645	12589	6898
646	12607	6878
647	12624	6857
648	12641	6837
649	12659	6816
650	12676	6795
651	12693	6774
652	12711	6754
653	12727	6733
654	12745	6713
655	12765	6694
656	12782	6673
657	12800	6653
658	12817	6632
659	12835	6612
660	12852	6591
661	12869	6571
662	12887	6550
663	12904	6529
664	12922	6509
665	12939	6489
666	12956	6468
667	12976	6449
668	12994	6429
669	13011	6408
670	13029	6388
671	13046	6367
672	13063	6347
673	13080	6326
674	13097	6306
675	13115	6286
676	13132	6265
677	13150	6245
678	13167	6225
679	13186	6205
680	13205	6185
681	13223	6165
682	13240	6145
683	13258	6125
684	13275	6104
685	13293	6084
686	13310	6064
687	13328	6044
688	13346	6024
689	13363	6003
690	13381	5983
691	13400	5964
692	13419	5945
693	13438	5925
694	13456	5905
695	13474	5885
696	13492	5865
697	13509	5845
698	13527	5825
699	13545	5805
700	13562	5784
701	13579	5764
702	13598	5744
703	13617	5725
704	13636	5705
705	13653	5685
706	13670	5665
707	13687	5645
708	13704	5625
709	13722	5604
710	13740	5584
711	13757	5564
712	13774	5544
713	13792	5524
714	13810	5504
715	13829	5485
716	13847	5465
717	13864	5445
718	13882	5425
719	13899	5405
720	13916	5385
721	13934	5365
722	13951	5345
723	13968	5325
724	13985	5304
725	14003	5284
726	14020	5264
727	14040	5245
728	14058	5225
729	14075	5205
730	14092	5186
731	14110	5166
732	14127	5145
733	14144	5125
734	14161	5105
735	14179	5086
736	14196	5066
737	14214	5046
738	14231	5026
739	14273	5015
740	14302	4999
741	14326	4981
742	14343	4961
743	14361	4941
744	14378	4921
745	14396	4901
746	14414	4881
747	14431	4861
748	14450	4842
749	14469	4823
750	14487	4803
751	14506	4783
752	14524	4764
753	14543	4744
754	14560	4725
755	14578	4705
756	14595	4685
757	14612	4665
758	14629	4645
759	14646	4625
760	14665	4605
761	14684	4586
762	14701	4566
763	14720	4547
764	14737	4527
765	14754	4507
766	14771	4487
